index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
55,How to produce complementary explanations using an Ensemble Model,W. Silva; K. Fernandes; J. S. Cardoso,"INESC TEC and Faculdade de Engenharia, Universidade do Porto, Porto, Portugal; NILG.AI and INESC TEC, Porto, Portugal; INESC TEC and Faculdade de Engenharia, Universidade do Porto, Porto, Portugal",2019 International Joint Conference on Neural Networks (IJCNN),,2019,,,1,8,"In order to increase the adoption of machine learning models in areas like medicine and finance, it is necessary to have correct and diverse explanations for the decisions that the models provide, to satisfy the curiosity of decision-makers and the needs of the regulators. In this paper, we introduced a method, based in a previously presented framework, to explain the decisions of an Ensemble Model. Moreover, we instantiate the proposed approach to an ensemble composed of a Scorecard, a Random Forest, and a Deep Neural Network, to produce accurate decisions along with correct and diverse explanations. Our methods are tested on two biomedical datasets and one financial dataset. The proposed ensemble leads to an improvement in the quality of the decisions, and in the correctness of the explanations, when compared to its constituents alone. Qualitatively, it produces diverse explanations that make sense and convince the experts.",2161-4407,978-1-7281-1985-4,10.1109/IJCNN.2019.8852409,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8852409,Interpretable Machine Learning;Explainable Machine Learning;Ensemble Model;Scorecards;Random Forests;Deep Neural Networks;Dermoscopics;Aesthetic Evaluation;Credit Scoring,Machine learning;Neural networks;Prototypes;Task analysis;Data visualization;Semantics;Mathematical model,data analysis;learning (artificial intelligence);neural nets;random forests,decision-makers;diverse explanations;complementary explanations;machine learning models;ensemble model;deep neural network;random forest;biomedical datasets;financial dataset,,,41.0,,,,,IEEE,IEEE Conferences
56,From Machine Learning to Explainable AI,A. Holzinger,"Holzinger Group, HCI-KDD, Medical University, Institute for Medical Informatics, Statistics & Documentation, Graz, Austria",2018 World Symposium on Digital Intelligence for Systems and Machines (DISA),,2018,,,55,66,"The success of statistical machine learning (ML) methods made the field of Artificial Intelligence (AI) so popular again, after the last AI winter. Meanwhile deep learning approaches even exceed human performance in particular tasks. However, such approaches have some disadvantages besides of needing big quality data, much computational power and engineering effort; those approaches are becoming increasingly opaque, and even if we understand the underlying mathematical principles of such models they still lack explicit declarative knowledge. For example, words are mapped to high-dimensional vectors, making them unintelligible to humans. What we need in the future are context-adaptive procedures, i.e. systems that construct contextual explanatory models for classes of real-world phenomena. This is the goal of explainable AI, which is not a new field; rather, the problem of explainability is as old as AI itself. While rule-based approaches of early AI were comprehensible “glass-box” approaches at least in narrow domains, their weakness was in dealing with uncertainties of the real world. Maybe one step further is in linking probabilistic learning methods with large knowledge representations (ontologies) and logical approaches, thus making results re-traceable, explainable and comprehensible on demand.",,978-1-5386-5102-5,10.1109/DISA.2018.8490530,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8490530,,Machine learning;Data mining;Data visualization;Uncertainty;Games;Cognitive science,learning (artificial intelligence);ontologies (artificial intelligence);probability,statistical machine learning methods;AI winter;deep learning approaches;big quality data;computational power;engineering effort;ontologies;knowledge representations;glass-box approaches;mathematical principles;artificial intelligence;logical approaches;probabilistic learning methods;rule-based approaches;contextual explanatory models;context-adaptive procedures;high-dimensional vectors,,4.0,86.0,,,,,IEEE,IEEE Conferences
57,Designing interpretable Hierarchical Fuzzy Systems,L. Magdalena,"Escuela Técnica Superior de Ingenieros Informáticos, Universidad Politécnica de Madrid, Campus de Montegancedo, Madrid, Spain",2018 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2018,,,1,8,"Complexity is a typical criteria to analyze interpretability of fuzzy systems: number of variables, terms, rules, etc. Hierarchical fuzzy systems have shown a great potential to reduce fuzzy systems complexity. On the other hand, the counterpart to complexity reduction is the presence of synthetic variables generated at intermediate levels of the hierarchy. Those synthetic variables are generally affected by an absolute absence of semantics, minimizing their interpretability. As a consequence, when analyzing interpretability in hierarchical fuzzy systems, complexity should only be a part of the equation, since semantics should also be considered. And particularly, semantics of the intermediate variables added to reduce complexity. The use of hierarchical fuzzy systems will only produce an effective interpretability improvement when the design of the hierarchical structure was driven by the semantics of the intermediate variables. In other words, intermediate variables should be interpretable in terms of the problem under analysis. This consideration, made in the framework of hierarchical fuzzy systems, could be extended to any kind of hierarchical system defined under the umbrella of explainable artificial intelligence. The present paper will consider different aspects of interpretability concerning hierarchical fuzzy systems, and will explore the role of intermediate variables in accordance with the previous comments. The appropriate selection of those intermediate variables will drive to a process where subsystems will be decoupled for design and interpretation. Under this assumption we will finally consider the measurement of interpretability in hierarchical fuzzy systems as a process where the interpretability of each component (fuzzy system) of the hierarchy is first evaluated and then aggregated to achieve an overall interpretability evaluation.",,978-1-5090-6020-7,10.1109/FUZZ-IEEE.2018.8491452,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491452,Fuzzy systems;modeling;hierarchy;complexity;semantics;interpretability;explainable artificial intelligence,Fuzzy systems;Complexity theory;Input variables;Semantics;Mathematical model;Fuzzy logic;Hafnium,artificial intelligence;fuzzy set theory;fuzzy systems;hierarchical systems,interpretability;intermediate variables;fuzzy systems complexity;complexity semantics;interpretable hierarchical fuzzy systems;artificial intelligence,,1.0,25.0,,,,,IEEE,IEEE Conferences
58,Distributed Osmotic Computing Approach to Implementation of Explainable Predictive Deep Learning at Industrial IoT Network Edges with Real-Time Adaptive Wavelet Graphs,E. Oyekanlu,"Electr. & Comput. Eng. Dept., Drexel Univ., Philadelphia, PA, USA",2018 IEEE First International Conference on Artificial Intelligence and Knowledge Engineering (AIKE),,2018,,,179,188,"Challenges associated with developing analytics solutions at the edge of large scale Industrial Internet of Things (IIoT) networks close to where data is being generated in most cases involves developing analytics solutions from ground up. However, this approach increases IoT development costs and system complexities, delay time to market, and ultimately lowers competitive advantages associated with delivering next-generation IoT designs. To overcome these challenges, existing, widely available, hardware can be utilized to successfully participate in distributed edge computing for IIoT systems. In this paper, an osmotic computing approach is used to illustrate how distributed osmotic computing and existing low-cost hardware may be utilized to solve complex, compute-intensive Explainable Artificial Intelligence (XAI) deep learning problem from the edge, through the fog, to the network cloud layer of IIoT systems. At the edge layer, the C28x digital signal processor (DSP), an existing low-cost, embedded, real-time DSP that has very wide deployment and integration in several IoT industries is used as a case study for constructing real-time graph-based Coiflet wavelets that could be used for several analytic applications including deep learning pre-processing applications at the edge and fog layers of IIoT networks. Our implementation is the first known application of the fixed-point C28x DSP to construct Coiflet wavelets. Coiflet Wavelets are constructed in the form of an osmotic microservice, using embedded low-level machine language to program the C28x at the network edge. With the graph-based approach, it is shown that an entire Coiflet wavelet distribution could be generated from only one wavelet stored in the C28x based edge device, and this could lead to significant savings in memory at the edge of IoT networks. Pearson correlation coefficient is used to select an edge generated Coiflet wavelet and the selected wavelet is used at the fog layer for pre-processing and denoising IIoT data to improve data quality for fog layer based deep learning application. Parameters for implementing deep learning at the fog layer using LSTM networks have been determined in the cloud. For XAI, communication network noise is shown to have significant impact on results of predictive deep learning at IIoT network fog layer.",,978-1-5386-9555-5,10.1109/AIKE.2018.00042,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8527474,Explainable Artificial Intelligence;Deep Learning;Real-Time;Industrial IoT;Wavelet Graph;Data Quality;Distributed Computing,Hardware;Wavelet analysis;Cloud computing;Logic gates;Real-time systems,cloud computing;delays;digital signal processing chips;distributed processing;graph theory;Internet of Things;learning (artificial intelligence);wavelet transforms,distributed osmotic computing approach;industrial IoT network edges;real-time adaptive wavelet graphs;IoT development costs;system complexities;delay time;IIoT systems;network cloud layer;edge layer;real-time DSP;real-time graph-based Coiflet wavelets;osmotic microservice;low-level machine language;graph-based approach;LSTM networks;communication network noise;IIoT network fog layer;distributed edge computing;digital signal processor;artificial intelligence deep learning problem;XAI deep learning pre-processing applications;large scale industrial Internet of Things,,,56.0,,,,,IEEE,IEEE Conferences
59,Explainable Prediction of Chronic Renal Disease in the Colombian Population Using Neural Networks and Case-Based Reasoning,G. R. Vásquez-Morales; S. M. Martínez-Monterrubio; P. Moreno-Ger; J. A. Recio-García,"Office of Information and Communications Technology, Ministry of Health and Social Protection, Bogotá, Colombia; Department of Software Engineering and Artificial Intelligence, Faculty of Computer Science, Group of Artificial Intelligence Applications, Universidad Complutense de Madrid, Ciudad Universitaria, Madrid, Spain; School of Engineering, Universidad Internacional de La Rioja (UNIR), Logroño, Spain; Office of Information and Communications Technology, Ministry of Health and Social Protection, Bogotá, Colombia",IEEE Access,,2019,7,,152900,152910,"This paper presents a neural network-based classifier to predict whether a person is at risk of developing chronic kidney disease (CKD). The model is trained with the demographic data and medical care information of two population groups: on the one hand, people diagnosed with CKD in Colombia during 2018, and on the other, a sample of people without a diagnosis of this disease. Once the model is trained and evaluation metrics for classification algorithms are applied, the model achieves 95% accuracy in the test data set, making its application for disease prognosis feasible. However, despite the demonstrated efficiency of the neural networks to predict CKD, this machine-learning paradigm is opaque to the expert regarding the explanation of the outcome. Current research on eXplainable AI proposes the use of twin systems, where a black-box machine-learning method is complemented by another white-box method that provides explanations about the predicted values. Case-Based Reasoning (CBR) has proved to be an ideal complement as this paradigm is able to find explanatory cases for an explanation-by-example justification of a neural network's prediction. In this paper, we apply and validate a NN-CBR twin system for the explanation of CKD predictions. As a result of this research, 3,494,516 people were identified as being at risk of developing CKD in Colombia, or 7% of the total population.",2169-3536,,10.1109/ACCESS.2019.2948430,"Secretaría de Estado de Investigación, Desarrollo e Innovación; Postdoctoral Schollarship of the second author is founded by the Secretariat of Education, Technology and Innovation of Mexico City (SECTEI); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8877828,Chronic kidney disease prediction;neural networks;case-based reasoning;twin systems;explainable AI;support vector machines;random forest,Biological neural networks;Diseases;Training;Data models;Artificial intelligence;Sociology,case-based reasoning;diseases;health care;kidney;learning (artificial intelligence);medical computing;neural nets;pattern classification,white-box method;black-box machine-learning method;twin systems;explainable AI;machine-learning paradigm;test data;classification algorithms;evaluation metrics;population groups;medical care information;demographic data;chronic kidney disease;neural network-based classifier;neural networks;colombian population;chronic renal disease;explainable prediction;Colombia;CKD predictions;NN-CBR twin system;explanation-by-example justification;explanatory cases;case-based reasoning,,1.0,59.0,CCBY,,,,IEEE,IEEE Journals
60,A Social Science-based Approach to Explanations for (Game) AI,V. Volz; K. Majchrzak; M. Preuss,"Department of Computer Science, TU Dortmund University; Department of Computer Science, TU Dortmund University; WWU Münster, ERCIS",2018 IEEE Conference on Computational Intelligence and Games (CIG),,2018,,,1,2,"The current AI revolution provides us with many new, but often very complex algorithmic systems. This complexity does not only limit understanding, but also acceptance of e.g. deep learning methods. In recent years, explainable AI (XAI) has been proposed as a remedy. However, this research is rarely supported by publications on explanations from social sciences. We suggest a bottom-up approach to explanations for (game) AI, by starting from a baseline definition of understandability informed by the concept of limited human working memory. We detail our approach and demonstrate its application to two games from the GVGAI framework. Finally, we discuss our vision of how additional concepts from social sciences can be integrated into our proposed approach and how the results can be generalised.",2325-4289,978-1-5386-4359-4,10.1109/CIG.2018.8490361,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8490361,explainable AI;working memory;super-sensors,Artificial intelligence;Games;Object oriented modeling;Brain modeling;Complexity theory;Image recognition;Collaboration,computer games;learning (artificial intelligence);social sciences,social science-based approach;complex algorithmic systems;explainable AI;XAI;social sciences;games;AI revolution;deep learning methods;bottom-up approach;baseline definition;GVGAI framework;human working memory limitation,,,53.0,,,,,IEEE,IEEE Conferences
61,Explanation-Based Reward Coaching to Improve Human Performance via Reinforcement Learning,A. Tabrez; S. Agrawal; B. Hayes,"University of Colorado Boulder, Boulder, CO, 80309; University of Colorado Boulder, Boulder, CO, 80309; University of Colorado Boulder, Boulder, CO, 80309",2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,2019,,,249,257,"For robots to effectively collaborate with humans, it is critical to establish a shared mental model amongst teammates. In the case of incongruous models, catastrophic failures may occur unless mitigating steps are taken. To identify and remedy these potential issues, we propose a novel mechanism for enabling an autonomous system to detect model disparity between itself and a human collaborator, infer the source of the disagreement within the model, evaluate potential consequences of this error, and finally, provide human-interpretable feedback to encourage model correction. This process effectively enables a robot to provide a human with a policy update based on perceived model disparity, reducing the likelihood of costly or dangerous failures during joint task execution. This paper makes two contributions at the intersection of explainable AI (xAI) and human-robot collaboration: 1) The Reward Augmentation and Repair through Explanation (RARE) framework for estimating task understanding and 2) A human subjects study illustrating the effectiveness of reward augmentation-based policy repair in a complex collaborative task.",2167-2148,978-1-5386-8555-6,10.1109/HRI.2019.8673104,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673104,Explainable AI;Policy Explanation;Human-Robot Collaboration;Reward Estimation;Joint Task Execution,Task analysis;Robots;Collaboration;Maintenance engineering;Hidden Markov models;Cognitive science;Team working,human-robot interaction;learning (artificial intelligence);team working,reinforcement learning;shared mental model;teammates;incongruous models;catastrophic failures;mitigating steps;autonomous system;human collaborator;potential consequences;human-interpretable feedback;model correction;policy update;perceived model disparity;costly failures;dangerous failures;joint task execution;explainable AI;human-robot collaboration;human subjects;reward augmentation-based policy repair;complex collaborative task;explanation-based reward coaching;human performance improvement;model disparity;reward augmentation and repair through explanation framework;RARE framework;task understanding,,1.0,34.0,,,,,IEEE,IEEE Conferences
63,Visual Explanation of Simple Neural Networks using Interactive Rainbow Boxes,J. Lamy; R. Tsopra,"LIMICS, Université Paris 13, Sorbonne Université, France; Université Paris 13, SMBH, Bobigny, AP-HP, Paris, France",2019 23rd International Conference Information Visualisation (IV),,2019,,,50,55,"Artificial neural networks are machine-learning algorithms inspired by biological neural networks. Their main inconvenient is their “black-box” nature: while they are very efficient for making predictions, it is difficult to explain these predictions. In this paper, we propose a visual translation of the reasoning performed by simple neural networks, i.e. without hidden layers. This visualization relies on rainbow boxes, a recently-introduced technique for set visualization, and on three improvements we propose for rainbow boxes, including interactivity. We also present a small application of the proposed approach to decision support in antibiotherapy, for helping a physician to choose an antibiotic in urinary infections.",2375-0138,978-1-7281-2838-2,10.1109/IV.2019.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8811976,Explainable artificial intelligence;XAI;artificial neural networks;medical decision support;set visualization,Visualization;Biological neural networks;Cognition;Antibiotics;Machine learning,belief networks;decision support systems;diseases;learning (artificial intelligence);medical expert systems;neural nets,black-box nature;visual translation;set visualization;visual explanation;interactive rainbow boxes;artificial neural networks;machine-learning algorithms;biological neural networks;neural networks,,,20.0,,,,,IEEE,IEEE Conferences
64,Black-Box vs. White-Box: Understanding Their Advantages and Weaknesses From a Practical Point of View,O. Loyola-González,"Tecnologico de Monterrey, Puebla, México",IEEE Access,,2019,7,,154096,154113,"Nowadays, in the international scientific community of machine learning, there exists an enormous discussion about the use of black-box models or explainable models; especially in practical problems. On the one hand, a part of the community defends that black-box models are more accurate than explainable models in some contexts, like image preprocessing. On the other hand, there exist another part of the community alleging that explainable models are better than black-box models because they can obtain comparable results and also they can explain these results in a language close to a human expert by using patterns. In this paper, advantages and weaknesses for each approach are shown; taking into account a state-of-the-art review for both approaches, their practical applications, trends, and future challenges. This paper shows that both approaches are suitable for solving practical problems, but experts in machine learning need to understand the input data, the problem to solve, and the best way for showing the output data before applying a machine learning model. Also, we propose some ideas for fusing both, explainable and black-box, approaches to provide better solutions to experts in real-world domains. Additionally, we show one way to measure the effectiveness of the applied machine learning model by using expert opinions jointly with statistical methods. Throughout this paper, we show the impact of using explainable and black-box models on the security and medical applications.",2169-3536,,10.1109/ACCESS.2019.2949286,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8882211,Black-box;white-box;explainable artificial intelligence;deep learning,Machine learning;Mathematical model;Biological system modeling;Gallium nitride;Biological neural networks;Statistical analysis;Computational modeling,learning (artificial intelligence);statistical analysis,black-box models;explainable models;applied machine learning model;white-box,,1.0,169.0,CCBY,,,,IEEE,IEEE Journals
65,Leveraging Cognitive Context Knowledge for Argumentation-Based Object Classification in Multi-Sensor Networks,Z. Hao; J. Wu; T. Liu; X. Chen,"College of Management, Shenzhen University, Shenzhen, China; Science and Technology on Information Systems Engineering Laboratory, National University of Defense Technology, Changsha, China; College of Management, Shenzhen University, Shenzhen, China; College of Management, Shenzhen University, Shenzhen, China",IEEE Access,,2019,7,,71361,71373,"It is a great challenge to achieve interpretable collaborative object classification in multi-sensor networks. In this situation, argumentation-based object classification has been considered a promising paradigm, due to its natural means of justifying and explaining complicated decision making within multiple agents. However, disagreements between sensor agents are often encountered because of various object category levels. To address this category of granularity inconsistent problem in multi-sensor collaborative object classification tasks, we propose a cognitive context knowledge-enriched method for classification conflict resolution. The cognitive context is concerned, in this paper, to investigate how rich contextual knowledge-equipped cognitive agents can facilitate semantic consensus in argumentation-based object classification. The empirical evaluation demonstrates the effectiveness of our method with improvement over state-of-the-art, especially in the presence of noisy sensor data, while giving argumentative explanations. Therefore, it is suggested that people who can benefit from the proposed method in this paper are the human user of multi-sensor object classification systems, in which explaining decision support is one of the important factors concerned.",2169-3536,,10.1109/ACCESS.2019.2919073,China Postdoctoral Science Foundation; Natural Science Foundation of Guangdong Province; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8723041,Multi-sensor networks;argumentation;cognitive context;explainable artificial intelligence;object classification,Semantics;Collaboration;Task analysis;Ontologies;Cognition;Machine learning;Training,decision making;image classification;learning (artificial intelligence);multi-agent systems;object recognition,sensor agents;object category levels;multisensor collaborative object classification tasks;cognitive context knowledge-enriched method;classification conflict resolution;argumentation-based object classification;multisensor object classification systems;multisensor networks;interpretable collaborative object classification;contextual knowledge;empirical evaluation,,,30.0,,,,,IEEE,IEEE Journals
66,Identifying Simple Shapes to Classify the Big Picture,M. Liang; G. Palado; W. N. Browne,"Victoria University of Wellington,Wellington,New Zealand; Victoria University of Wellington,Wellington,New Zealand; Victoria University of Wellington,Wellington,New Zealand",2019 International Conference on Image and Vision Computing New Zealand (IVCNZ),,2019,,,1,6,"In recent years, Deep Artificial Neural Networks (DNNs) have demonstrated their ability in solving visual classification problems. However, an impediment is transparency where it is difficult to interpret why an object is classified in a particular way. Furthermore, it is also difficult to validate whether a learned model truly represents a problem space. Learning Classifier Systems (LCSs) are an Evolutionary Computation technique capable of producing human-readable rules that explain why an instance has been classified, i.e. the system is fully transparent. However, because they can encode complex relationships between features, they are not best suited to domains with a large number of input features, e.g. classification in pixel images. Thus, the aim of this work is to develop a novel DNN-LCS system where the former extracts features from pixels and the latter classifies objects from these features with clear decision boundaries. Results show that the system can explain its classification decisions on curated image data, e.g. plates have elliptical or rectangular shapes. This work represents a promising step towards explainable artificial intelligence in computer vision.",2151-2205,978-1-7281-4187-9,10.1109/IVCNZ48456.2019.8960989,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8960989,Object Recognition;Learning Classifier Systems,,computer vision;evolutionary computation;feature extraction;image classification;learning (artificial intelligence);neural nets;shape recognition,Deep Artificial Neural Networks;visual classification problems;impediment;transparency;LCSs;Evolutionary Computation technique;human-readable rules;pixel images;feature extraction;object classification;decision boundaries;classification decisions;explainable artificial intelligence;computer vision;DNN-LCS system;shape identification,,,42.0,,,,,IEEE,IEEE Conferences
67,Automatic Diagnosis of Parkinson Disease through Handwriting Analysis: A Cartesian Genetic Programming Approach,R. Senatore; A. Della Cioppa; A. Marcelli,"Natural Computation Lab, DIEM, Università degli Studi di Salerno; Natural Computation Lab, DIEM, Università degli Studi di Salerno; Natural Computation Lab, DIEM, Università degli Studi di Salerno",2019 IEEE 32nd International Symposium on Computer-Based Medical Systems (CBMS),,2019,,,312,317,"Early disease identification through non-invasive and automatic techniques has gathered increasing interest by the scientific community in the last decades. In this context, Parkinsons Disease (PD) has received particular attention in that it is a severe and progressive neurodegenerative disease and, therefore, early diagnosis would provide more prompt and effective intervention strategies. This, in turn, would successfully influence the life expectancy of the patients. However, the acceptance of computer-based diagnosis by doctors is hampered by the black-box approach implemented by the most performing systems, such as Artificial Neural Networks and Support Vector Machines, which do not explicit the rules adopted by the system. In this context, we propose a Cartesian Genetic Programming, aimed at automatically identify PD through the analysis of handwriting performed by PD patients and healthy controls. The use of such approach is particularly interesting in that it allows to infer explicit models of classification and, at same time, to automatically identify a suitable subset of features relevant for a correct diagnosis. The approach has been evaluated on the features extracted from the handwriting samples contained in the publicly available PaHaW dataset. Experimental results show that our approach compares favorably with state-of-the-art methods and, more importantly, provides an explicit model of the classification criteria.",2372-9198,978-1-7281-2286-1,10.1109/CBMS.2019.00071,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787399,Explainable Artificial Intelligence;Parkinson disease;E-Health;Evolutionary Computation,Task analysis;Feature extraction;Diseases;Genetic programming;Support vector machines;Artificial intelligence,diseases;feature extraction;genetic algorithms;handwriting recognition;image classification;medical diagnostic computing;neurophysiology;patient diagnosis,handwriting analysis;disease identification;life expectancy;computer-based diagnosis;black-box approach;PD patients;Parkinsons disease diagnosis;neurodegenerative disease;intervention strategies;Cartesian genetic programming approach;features extraction,,,30.0,,,,,IEEE,IEEE Conferences
68,Autonomous Causally-Driven Explanation of Actions,G. E. Katz; D. Dullnig; G. P. Davis; R. J. Gentili; J. A. Reggia,"Dept. of Comput. Sci., Univ. of Maryland, College Park, MD, USA; Dept. of Comput. Sci., Univ. of Maryland, College Park, MD, USA; Dept. of Comput. Sci., Univ. of Maryland, College Park, MD, USA; Dept. of Kinesiology, Univ. of Maryland, College Park, MD, USA; Dept. of Comput. Sci., Univ. of Maryland, College Park, MD, USA",2017 International Conference on Computational Science and Computational Intelligence (CSCI),,2017,,,772,778,"We propose a cause-effect reasoning mechanism with which an autonomous system can justify planned actions to a human end user. The mechanism is based on a structure we call a ""causal plan graph,"" which encodes the causal relationships between the actions, intentions, and goals of the autonomous system. Causal chains within this graph can potentially serve as intuitive, human-friendly justifications for the autonomous system's planned actions. A prototype of this mechanism is tested in simulation on a set of planning problems from an autonomous maintenance scenario. We demonstrate empirically that shortest path algorithms can effectively reduce a very large number of possible causal chains to a small, intelligible subset that might reasonably be inspected and ranked by a human. Consequently this work can serve as the basis for an experimental platform for future end user studies with human participants.",,978-1-5386-2652-8,10.1109/CSCI.2017.133,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560892,cause-effect reasoning;explainable artificial intelligence (XAI);imitation learning;robotics,,cause-effect analysis;control engineering computing;graph theory;inference mechanisms;maintenance engineering;planning (artificial intelligence),autonomous system;planning problems;autonomous maintenance scenario;possible causal chains;future end user studies;human participants;autonomous causally-driven explanation;cause-effect reasoning mechanism;planned actions;human end user;causal plan graph;causal relationships;human-friendly justifications,,,14.0,,,,,IEEE,IEEE Conferences
69,Visual Approach to Support Analysis of Optimum-Path Forest Classifier,D. Medeiros Eler; M. Prachedes Batista; R. E. Garcia; D. R. Pereira; W. E. Marcilio,"Sao Paulo State Univ., Presidente Prudente, Brazil; Sao Paulo State Univ., Presidente Prudente, Brazil; Sao Paulo State Univ., Presidente Prudente, Brazil; Univ. do Oeste Paulista, Presidente Prudente, Brazil; Sao Paulo State Univ., Presidente Prudente, Brazil",2019 8th Brazilian Conference on Intelligent Systems (BRACIS),,2019,,,777,782,"Optimum-path forest (OPF) is a graph based classifier in which the training process computes optimum-path trees rooted by prototype instances. Thus, one or more optimum-path trees represent each class and the testing process is based on identifying which optimum-path tree would contain a test sample. Usually, OPF performance is analyzed based on measures computed from training and testing process, such as f-score and correct classification rate (accuracy). This paper proposes an approach based on visualization to support understanding of OPF training and testing processes. The visual approach uses multidimensional projection techniques to reduce the feature space dimensionality and to generate graphical representation from instances similarities. As a result, one can visualize, analyze and understand each step of OPF classifier: generation of the minimum-spanning tree, prototypes choosing, computation of optimum-path trees, and test samples classification. The experiments show that our approach is useful to understand how the prototypes are chosen, to identify what are the best prototypes, to visualize how the training dataset size influences the OPF performance, to analyze how a weak feature space can impact the OPF performance, and to identify some insights about OPF classifier as a whole.",2643-6264,978-1-7281-4253-1,10.1109/BRACIS.2019.00139,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8923927,"optimum-path forest, multidimensional projection, visualization assisted machine learning, explainable artificial intelligence",Training;Prototypes;Testing;Vegetation;Visualization;Forestry;Data visualization,data visualisation;graph theory;pattern classification;trees (mathematics),visual approach;optimum-path forest classifier;graph based classifier;optimum-path tree;OPF classifier,,,18.0,,,,,IEEE,IEEE Conferences
70,Regional Multi-Scale Approach for Visually Pleasing Explanations of Deep Neural Networks,D. Seo; K. Oh; I. Oh,"National Institute of Agricultural Sciences, Jeonju, South Korea; Division of Computer Science and Engineering, Jeonbuk National University, Jeonju, South Korea; Division of Computer Science and Engineering, Jeonbuk National University, Jeonju, South Korea",IEEE Access,,2020,8,,8572,8582,"Recently, many methods to interpret and visualize deep neural network predictions have been proposed, and significant progress has been made. However, a more class-discriminative and visually pleasing explanation is required. Thus, this paper proposes a region-based approach that estimates feature importance in terms of appropriately segmented regions. By fusing the saliency maps generated from multi-scale segmentations, a more class-discriminative and visually pleasing map is obtained. This paper incorporates this regional multi-scale concept into a prediction difference method that is model-agnostic. An input image is segmented in several scales using the superpixel method, and exclusion of a region is simulated by sampling a normal distribution constructed via the boundary prior. The experimental results demonstrate that the regional multi-scale method produces much more class-discriminative and visually pleasing saliency maps.",2169-3536,,10.1109/ACCESS.2019.2963055,National Research Foundation of Korea; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8945372,Computer vision;neural networks;explainable artificial intelligence;machine learning,Predictive models;Image segmentation;Prediction algorithms;Neural networks;Neurons;Visualization,image sampling;image segmentation;learning (artificial intelligence);neural nets;normal distribution,normal distribution;input image segmentation;visually pleasing saliency maps;superpixel method;multiscale segmentations;class-discriminative;deep neural networks;visually pleasing explanation;regional multiscale approach,,1.0,33.0,CCBY,,,,IEEE,IEEE Journals
71,Towards Interpretable Deep Extreme Multi-Label Learning,Y. Kang; I. Cheng; W. Mao; B. Kuo; P. Lee,"National Sun Yat-sen University, Taiwan; National Chung Hsing University, Taiwan; National Sun Yat-sen University, Taiwan; National Sun Yat-sen University, Taiwan; National Chung Cheng University",2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science (IRI),,2019,,,69,74,"Many Machine Learning algorithms, such as deep neural networks, have long been criticized for being ""black-boxes""-a kind of models unable to provide how it arrive at a decision without further efforts to interpret. This problem has raised concerns on model applications' trust, safety, nondiscrimination, and other ethical issues. In this paper, we discuss the machine learning interpretability of a real-world application, eXtreme Multi-label Learning (XML), which involves learning models from annotated data with many pre-defined labels. We propose a two-step XML approach that combines deep non-negative autoencoder with other multi-label classifiers to tackle different data applications with a large number of labels. Our experimental result shows that the proposed approach is able to cope with many-label problems as well as to provide interpretable label hierarchies and dependencies that helps us understand how the model recognizes the existences of objects in an image.",,978-1-7281-1337-1,10.1109/IRI.2019.00024,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843489,Representation Learning;Artificial Neural Networks;Explainable Artificial Intelligence;Machine Learning Interpretability;Multi-label Learning,,learning (artificial intelligence);neural nets;pattern classification;XML,deep neural networks;black-boxes;ethical issues;annotated data;two-step XML approach;nonnegative autoencoder;multilabel classifiers;machine learning algorithms;interpretable deep extreme multilabel learning,,,32.0,,,,,IEEE,IEEE Conferences
